60618,SERY MAGNEVAL,60800
88009,ANOULD,88650
83002,AIGUINES,83630
52030,AUTIGNY LE PETIT,52300
67539,WINGERSHEIM LES QUATRE BANS,67170
33068,BOURIDEYS,33113
29288,TREGARANTEC,29260
33528,LE TEMPLE,33680
02020,ANY MARTIN RIEUX,2500
52190,ESNOUVEAUX,52340
18065,CHEZAL BENOIT,18160
17305,ROUFFIGNAC,17130
69108,LANCIE,69220
39020,ARSURE ARSURETTE,39250
09336,VILLENEUVE D OLMES,9300
42140,MAROLS,42560
65368,POUY,65230
28080,CHARBONNIERES,28330
63391,ST REMY DE BLOT,63440
67522,WEISLINGEN,67290
17320,ST COUTANT LE GRAND,17430
08247,LANDRICHAMPS,8600
74004,ALLEVES,74540
83058,FLAYOSC,83780
11161,GARDIE,11250
67412,ROSSFELD,67230
23237,ST PRIEST PALUS,23400
08195,GOMONT,8190
54560,VENEY,54540
39386,NEUVILLEY,39800
39463,ROGNA,39360
05054,LA FARE EN CHAMPSAUR,5500
58247,ST JEAN AUX AMOGNES,58270
17409,ST SULPICE DE ROYAN,17200
2A008,ALBITRECCIA,20128
28233,MARBOUE,28200
14122,LA CAINE,14210
22275,ST BARNABE,22600
58173,MONTARON,58250
76622,ST MAURICE D ETELAN,76330
14223,LE DETROIT,14690
68140,HIRTZFELDEN,68740
58150,LYS,58190
15216,ST URCIZE,15110
62386,GRENAY,62160
17228,MEDIS,17600
60396,MERY LA BATAILLE,60420
24371,ST AQUILIN,24110
17223,MASSAC,17490
60549,ROTANGY,60360
74018,ARENTHON,74800
32319,PLAISANCE,32160
73236,ST GENIX LES VILLAGES,73240
51397,LA NEUVILLE AUX BOIS,51330
02290,ESSOMES SUR MARNE,2400
07168,ORGNAC L AVEN,7150
32339,RAZENGUES,32600
60380,MAREUIL SUR OURCQ,60890
57138,CHENOIS,57580
62264,DANNES,62187
19192,ST CHAMANT,19380
57098,BOURGALTROFF,57260
38183,GRANIEU,38490
76557,ST ARNOULT,76490
33166,LE FIEU,33230
59581,STEENWERCK,59181
33397,STE EULALIE,33560
08022,ARREUX,8090
86112,L ISLE JOURDAIN,86150
56034,CARNAC,56340
21391,MARSANNAY LE BOIS,21380
59036,AVESNES SUR HELPE,59440
78382,MAURECOURT,78780
57547,POMMERIEUX,57420
